main_category,sub_category,job_name,job_area,job_company,job_industry,job_finance,job_scale,job_welfare,salary_range,salary_type,job_experience,job_education,job_tag_list,search_keyword,create_time,,,,
产品,产品经理,医保产品经理,杭州·滨江区·长河,甘草医生,互联网,A轮,500-999人,交通补助，节日福利，五险一金，零食下午茶，带薪年假，年终奖，员工旅游，通讯补贴，餐补，股票期权，定期体检，住房补贴,15-18K,NULL,3-5年,本科,"B端产品,医疗产品",saas,2025/1/20,,,,
产品,产品经理,医疗产品专家,杭州·余杭区·仓前,阿里健康,移动互联网,已上市,500-999人,交通补助，包吃，加班补助，全勤奖，住房补贴，餐补，带薪年假，补充医疗保险，免费班车，员工旅游，定期体检，股票期权，年终奖，节日福利，通讯补贴，零食下午茶,20-40K,16薪,3-5年,本科,医生端产品,saas,2025/1/20,,,,
产品,产品经理,医疗产品经理,杭州,入微科技,医疗健康,100-499人,NULL,股票期权，绩效奖金，高温补贴，五险一金，团建聚餐，底薪加提成，保底工资，带薪年假，生日福利，节假日加班费，节日福利,8-13K,NULL,5-10年,本科,"医疗服务,医疗产品",saas,2025/1/20,,,,
产品,产品经理,医疗知识专家,杭州·西湖区·西溪,蚂蚁集团,互联网,D轮及以上,10000人以上,定期体检，免费班车，包吃，节日福利，全勤奖，员工旅游，住房补贴，带薪年假，通讯补贴，餐补，交通补助，零食下午茶，股票期权，年终奖，加班补助，五险一金,30-60K,16薪,5-10年,硕士,"C端产品,B端产品,G端产品/政务产品",saas,2025/1/20,,,,
产品,产品经理,反洗钱产品经理-数据风险业务总部（杭州）,杭州·滨江区·长河,恒生电子,计算机软件,已上市,10000人以上,带薪年假，年终奖，五险一金，双休,35-50K,NULL,10年以上,本科,"反洗钱,产品",saas,2025/1/20,,,,
产品,产品经理,商业产品专家,杭州·西湖区·西溪,凌迪科技,互联网,B轮,500-999人,定期体检，零食下午茶，带薪年假，节日福利，交通补助，餐补，团建聚餐，绩效奖金，五险一金，购房无息借款，免费工装，生日福利，工龄奖，员工旅游，年终奖，股票期权,30-40K,NULL,5-10年,本科,"PLM,DAM,B端产品,数据产品,ERP产品/软件产品,,,,",saas,2025/1/20,,,,
产品,产品经理,商业产品经理,杭州·滨江区·长河,元乙智能,互联网,天使轮,20-99人,生日福利，绩效奖金，五险一金，餐补，带薪年假，股票期权，全勤奖，零食下午茶，团建聚餐，年终奖，节日福利,15-30K,13薪,3-5年,本科,"商业产品,用户/功能产品,数据产品",saas,2025/1/20,,,,
产品,产品经理,商业产品经理,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,补充医疗保险，零食下午茶，股票期权，员工旅游，节日福利，年终奖，交通补助，五险一金，免费班车，餐补,30-40K,16薪,5-10年,硕士,"B端产品,云计算产品,ERP产品/软件产品,AI产品,,",saas,2025/1/20,,,,
产品,产品经理,商业产品经理(GP30005008),杭州·余杭区·仓前,橙宁,大数据,不需要融资,20-99人,绩效奖金，节日福利，带薪年假，意外险，餐补，团建聚餐，员工旅游，补充医疗保险，年终奖，定期体检，五险一金,25-45K,16薪,5-10年,本科,"G端产品/政务产品,风控产品,saas产品,产品规划",saas,2025/1/20,,,,
产品,产品经理,商业化产品经理,杭州·余杭区·仓前,LAZADA,电子商务,不需要融资,10000人以上,定期体检，交通补助，补充医疗保险，年终奖，意外险，免费班车，节日福利，餐补，员工旅游，带薪年假，团建聚餐，五险一金，股票期权，年底双薪,25-30K,16薪,3-5年,本科,电商产品,saas,2025/1/20,,,,
